date,query_id,query_text,category,platform,mentioned,accurate,position,competitors,competitor_ranks,brand_rank,brand_cited,description
2026-04-04,1,Best facial spa in Katy TX,direct_discovery,anthropic,no,no,,,,,no,
2026-04-04,2,Best HydraFacial in Katy Texas,direct_discovery,anthropic,no,no,,,,,no,
2026-04-04,3,Best facial spa near Houston TX,direct_discovery,anthropic,no,no,,Spa at the Post Oak; Sanctuary Spa; Milk + Honey; Hiatus Spa,1:Spa at the Post Oak; 2:Sanctuary Spa; 3:Milk + Honey; 4:Hiatus Spa,,no,
2026-04-04,4,Best medspa in Katy TX,direct_discovery,anthropic,no,no,,,,,no,
2026-04-04,5,Top rated skincare spa Katy Texas,direct_discovery,anthropic,no,no,,,,,no,
2026-04-04,6,Best place for facials in Katy TX,direct_discovery,anthropic,no,no,,Massage Envy,1:Massage Envy,,no,
2026-04-04,7,Professional facial treatment Katy TX,direct_discovery,anthropic,no,no,,,,,no,
2026-04-04,8,Best facial spa west Houston,direct_discovery,anthropic,no,no,,Massage Envy,1:Massage Envy,,no,
2026-04-04,9,Best microneedling treatment in Katy TX,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,10,PRP facial treatment Katy Texas,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,11,Best chemical peel facial Katy TX,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,12,Radiofrequency microneedling Katy TX,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,13,Aquagold facial treatment near Houston,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,14,Best acne facial treatment Katy Texas,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,15,Anti-aging facial treatments Katy TX,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,16,Dermaplaning facial Katy TX,treatment_discovery,anthropic,no,no,,,,,no,
2026-04-04,17,How to treat acne scars in Katy TX,problem_aware,anthropic,no,no,,,,,no,
2026-04-04,18,Best treatment for melasma near Houston,problem_aware,anthropic,no,no,,,,,no,
2026-04-04,19,How to reduce wrinkles without surgery Houston area,problem_aware,anthropic,no,no,,,,,no,
2026-04-04,20,Best treatment for hyperpigmentation Katy TX,problem_aware,anthropic,no,no,,,,,no,
